,bigram,count
435,"('PickupObject', 'hang')",3109
436,"('PickupObject', 'refrigerator.')",3100
437,"('GotoLocation', 'cd')",3082
438,"('GotoLocation', 'newspaper')",3075
439,"('PutObject', 'behind')",3075
440,"('GotoLocation', 'out.')",3056
441,"('PickupObject', 'fork')",3041
442,"('GotoLocation', 'get')",3031
443,"('ToggleObject', 'left')",3029
444,"('HeatObject', 'knife')",3017
445,"('ToggleObject', 'walk')",3015
446,"('PutObject', 'toilet.')",3014
447,"('GotoLocation', 'slices.')",3011
448,"('GotoLocation', 'cell')",3006
449,"('SliceObject', 'take')",3000
450,"('GotoLocation', 'bath')",2995
451,"('GotoLocation', 'cloth')",2970
452,"('PutObject', 'sponge')",2970
453,"('CleanObject', 'place')",2964
454,"('GotoLocation', 'rinse')",2958
455,"('PickupObject', 'piece')",2953
456,"('PutObject', 'phone')",2953
457,"('GotoLocation', 'garbage')",2948
458,"('GotoLocation', 'watch')",2946
459,"('CleanObject', 'around')",2917
460,"('PickupObject', 'dresser')",2877
461,"('PutObject', 'pencil')",2874
462,"('HeatObject', 'face')",2867
463,"('HeatObject', 'tomato')",2866
464,"('GotoLocation', 'first')",2856
465,"('PutObject', 'bed')",2856
466,"('PutObject', 'couch')",2851
467,"('PutObject', 'look')",2844
468,"('PutObject', 'fork')",2834
469,"('PutObject', 'remote')",2830
470,"('GotoLocation', 'bit')",2828
471,"('GotoLocation', 'cold')",2826
472,"('PickupObject', 'pen')",2811
473,"('PickupObject', 'chair.')",2807
474,"('GotoLocation', 'oven')",2806
475,"('PickupObject', 'bin')",2802
476,"('GotoLocation', 'toaster')",2788
477,"('HeatObject', 'take')",2781
478,"('GotoLocation', 'metal')",2775
479,"('CoolObject', 'take')",2754
480,"('GotoLocation', 'shaker')",2724
481,"('CleanObject', 'counter')",2710
482,"('PutObject', 'remove')",2698
483,"('CoolObject', 'open')",2696
484,"('PutObject', 'hang')",2685
485,"('GotoLocation', 'island.')",2677
486,"('PickupObject', 'bed.')",2662
487,"('SliceObject', 'lettuce')",2661
488,"('GotoLocation', 'up.')",2639
489,"('GotoLocation', 'again.')",2637
490,"('PutObject', 'piece')",2634
491,"('PickupObject', 'couch.')",2631
492,"('GotoLocation', 'top.')",2625
493,"('PickupObject', 'spray')",2601
494,"('PickupObject', 'blue')",2590
495,"('GotoLocation', 'slightly')",2587
496,"('GotoLocation', 'clock')",2566
497,"('PutObject', 'refrigerator.')",2565
498,"('PutObject', 'small')",2564
499,"('PickupObject', 'dresser.')",2563
500,"('GotoLocation', 'ahead')",2563
501,"('PickupObject', 'bottom')",2558
502,"('GotoLocation', 'tomato.')",2549
503,"('ToggleObject', 'pick')",2541
504,"('HeatObject', 'microwave.')",2537
505,"('GotoLocation', 'toaster.')",2535
506,"('CoolObject', 'face')",2526
507,"('PickupObject', 'heat')",2511
508,"('PutObject', 'pen')",2506
509,"('GotoLocation', 'night')",2505
510,"('GotoLocation', 'wall.')",2494
511,"('PutObject', 'chair.')",2481
512,"('GotoLocation', 'dining')",2447
513,"('PickupObject', 'island')",2446
514,"('CleanObject', 'go')",2441
515,"('PutObject', 'corner')",2436
516,"('PickupObject', 'shelf.')",2428
517,"('CoolObject', 'fridge.')",2424
518,"('SliceObject', 'move')",2415
519,"('CleanObject', 'face')",2411
520,"('CoolObject', 'close')",2410
521,"('SliceObject', 'front')",2388
522,"('PickupObject', 'can.')",2387
523,"('GotoLocation', 'gray')",2382
524,"('GotoLocation', 'kettle')",2379
525,"('PickupObject', 'book')",2375
526,"('PutObject', 'bottom')",2375
527,"('SliceObject', 'back')",2372
528,"('PutObject', 'bin')",2362
529,"('PutObject', 'spray')",2358
530,"('GotoLocation', 'light')",2352
531,"('GotoLocation', 'wait')",2346
532,"('SliceObject', 'forward')",2341
533,"('PutObject', 'egg')",2338
534,"('CoolObject', 'lettuce')",2336
535,"('GotoLocation', 'large')",2332
536,"('GotoLocation', 'cupboard')",2321
537,"('PickupObject', 'towel')",2319
538,"('PickupObject', 'steps')",2300
539,"('PutObject', 'dresser')",2300
540,"('PickupObject', 'carry')",2290
541,"('HeatObject', 'sink.')",2284
542,"('HeatObject', 'table')",2283
543,"('CoolObject', 'table')",2280
544,"('SliceObject', 'fridge.')",2267
545,"('GotoLocation', 'corner.')",2261
546,"('PickupObject', 'middle')",2255
547,"('SliceObject', 'open')",2236
548,"('GotoLocation', 'lettuce.')",2233
549,"('CoolObject', 'knife')",2231
550,"('PickupObject', 'candle')",2229
551,"('GotoLocation', 'far')",2226
552,"('PutObject', 'shelf.')",2218
553,"('PickupObject', 'salt')",2218
554,"('PickupObject', 'cabinet.')",2209
555,"('PickupObject', 'set')",2203
556,"('PickupObject', 'tv')",2199
557,"('GotoLocation', 'beside')",2194
558,"('GotoLocation', 'hand')",2193
559,"('PutObject', 'couch.')",2189
560,"('CleanObject', 'soap')",2184
561,"('PickupObject', 'bar')",2183
562,"('GotoLocation', 'laptop')",2182
563,"('PickupObject', 'lamp.')",2179
564,"('PickupObject', 'near')",2170
565,"('GotoLocation', 'wine')",2162
566,"('GotoLocation', 'warm')",2161
567,"('GotoLocation', 'apple.')",2158
568,"('PickupObject', 'wooden')",2157
569,"('PutObject', 'salt')",2153
570,"('SliceObject', 'microwave.')",2151
571,"('HeatObject', 'open')",2145
572,"('HeatObject', 'bread')",2142
573,"('GotoLocation', 'potato.')",2138
574,"('PickupObject', 'roll')",2133
575,"('PickupObject', 'brown')",2131
576,"('PutObject', 'blue')",2131
577,"('PutObject', 'roll')",2114
578,"('PickupObject', 'edge')",2105
579,"('PutObject', 'cabinet.')",2105
580,"('PickupObject', 'chilled')",2104
581,"('PickupObject', 'round')",2100
582,"('GotoLocation', 'tissue')",2100
583,"('PutObject', 'island')",2095
584,"('PickupObject', 'water')",2085
585,"('PutObject', 'heat')",2085
586,"('PickupObject', 'yellow')",2070
587,"('PutObject', 'dresser.')",2070
588,"('PutObject', 'bed.')",2060
589,"('PickupObject', 'wash')",2059
590,"('GotoLocation', 'reach')",2047
591,"('CoolObject', 'bread')",2042
592,"('HeatObject', 'sink')",2037
593,"('PickupObject', 'tub')",2030
594,"('HeatObject', 'counter.')",2027
595,"('PickupObject', 'tub.')",2024
596,"('GotoLocation', 'empty')",2004
597,"('GotoLocation', 'make')",2002
598,"('SliceObject', 'cut')",1997
599,"('PutObject', 'candle')",1996
600,"('PutObject', 'can.')",1995
601,"('GotoLocation', 'vase')",1994
602,"('PutObject', 'middle')",1973
603,"('PutObject', 'set')",1966
604,"('PutObject', 'book')",1958
605,"('PickupObject', 'butter')",1951
606,"('SliceObject', 'close')",1949
607,"('PickupObject', 'spatula')",1944
608,"('GotoLocation', 'slices')",1941
609,"('GotoLocation', 'pillow')",1936
610,"('PickupObject', 'past')",1925
611,"('CoolObject', 'door')",1925
612,"('PickupObject', 'clean')",1924
613,"('PickupObject', 'bring')",1907
614,"('ToggleObject', 'lamp.')",1900
615,"('PutObject', 'bar')",1889
616,"('GotoLocation', 'away')",1877
617,"('PutObject', 'steps')",1874
618,"('GotoLocation', 'sitting')",1863
619,"('PutObject', 'brown')",1859
620,"('PutObject', 'near')",1857
621,"('PickupObject', 'red')",1855
622,"('CoolObject', 'table.')",1855
623,"('PutObject', 'tv')",1850
624,"('CoolObject', 'sink.')",1845
625,"('PickupObject', ""that's"")",1844
626,"('PickupObject', 'one')",1837
627,"('PutObject', 'edge')",1836
628,"('PutObject', 'spatula')",1835
629,"('PutObject', 'yellow')",1829
630,"('PutObject', 'wooden')",1827
631,"('CleanObject', 'knife')",1822
632,"('PutObject', 'round')",1821
633,"('GotoLocation', 'cabbage')",1814
634,"('PickupObject', 'facing')",1809
635,"('PutObject', 'towel')",1808
636,"('GotoLocation', 'bathroom')",1800
637,"('PutObject', 'tub')",1796
638,"('CleanObject', 'water')",1796
639,"('PickupObject', 'closest')",1791
640,"('CoolObject', 'counter.')",1791
641,"('HeatObject', 'heat')",1789
642,"('GotoLocation', 'silver')",1786
643,"('CoolObject', 'tomato')",1786
644,"('GotoLocation', 'inside.')",1757
645,"('HeatObject', 'fridge')",1755
646,"('GotoLocation', 'statue')",1753
647,"('PutObject', 'butter')",1750
648,"('PickupObject', 'loaf')",1743
649,"('CoolObject', 'apple')",1743
650,"('GotoLocation', 'shelves')",1742
651,"('PickupObject', 'bin.')",1737
652,"('PutObject', 'tub.')",1735
653,"('CleanObject', 'take')",1735
654,"('PutObject', 'water')",1733
655,"('PutObject', 'wash')",1731
656,"('PickupObject', 'to')",1718
657,"('GotoLocation', 'side.')",1717
658,"('GotoLocation', 'drop')",1715
659,"('CleanObject', 'clean')",1712
660,"('PickupObject', 'stand.')",1707
661,"('CoolObject', 'back')",1707
662,"('CoolObject', 'refrigerator')",1706
663,"('GotoLocation', 'oven.')",1700
664,"('PutObject', 'carry')",1699
665,"('GotoLocation', 'examine')",1697
666,"('GotoLocation', 'window')",1697
667,"('PickupObject', 'cross')",1691
668,"('SliceObject', 'towards')",1690
669,"('PickupObject', 'watch')",1686
670,"('CoolObject', 'potato')",1686
671,"('CoolObject', 'chilled')",1681
672,"('HeatObject', 'move')",1680
673,"('PickupObject', 'sofa')",1679
674,"('HeatObject', 'table.')",1674
675,"('GotoLocation', 'opposite')",1672
676,"('PickupObject', 'chill')",1672
677,"('PutObject', 'chilled')",1662
678,"('PickupObject', 'toward')",1659
679,"('PickupObject', 'center')",1654
680,"('CleanObject', 'back')",1653
681,"('HeatObject', 'close')",1649
682,"('PutObject', 'one')",1644
683,"('PickupObject', 'second')",1632
684,"('PutObject', 'clean')",1623
685,"('GotoLocation', 'lower')",1622
686,"('PutObject', 'closest')",1610
687,"('CoolObject', 'sink')",1609
688,"('PickupObject', 'cell')",1601
689,"('CleanObject', 'wash')",1594
690,"('GotoLocation', 'cardboard')",1589
691,"('GotoLocation', 'machine.')",1589
692,"('GotoLocation', 'floor.')",1584
693,"('PickupObject', 'drawer.')",1575
694,"('PickupObject', 'cd')",1574
695,"('PickupObject', 'floor')",1569
696,"('GotoLocation', 'is.')",1566
697,"('GotoLocation', 'stop')",1560
698,"('PutObject', 'past')",1557
699,"('PutObject', 'bring')",1556
700,"('PickupObject', 'newspaper')",1545
701,"('PutObject', ""that's"")",1544
702,"('GotoLocation', 'bottles')",1543
703,"('PutObject', 'drawer.')",1541
704,"('PickupObject', 'rag')",1539
705,"('PickupObject', 'room.')",1533
706,"('GotoLocation', 'onto')",1522
707,"('GotoLocation', 'return')",1519
708,"('PickupObject', 'shut')",1517
709,"('GotoLocation', 'three')",1516
710,"('GotoLocation', 'handle')",1516
711,"('CleanObject', 'counter.')",1515
712,"('PutObject', 'red')",1514
713,"('PutObject', 'facing')",1513
714,"('CoolObject', 'microwave')",1513
715,"('PutObject', 'second')",1511
716,"('PutObject', 'stand.')",1500
717,"('HeatObject', 'back')",1500
718,"('GotoLocation', 'on.')",1496
719,"('ToggleObject', 'table')",1496
720,"('GotoLocation', 'rack')",1492
721,"('PutObject', 'center')",1487
722,"('GotoLocation', 'dirty')",1486
723,"('HeatObject', 'forward')",1486
724,"('SliceObject', 'door')",1481
725,"('GotoLocation', 'tank.')",1477
726,"('PutObject', 'loaf')",1475
