,alarm clock,apple,apple sliced,arm chair,baseball bat,basket ball,bathtub,bathtub basin,bed,book,bowl,box,bread,bread sliced,butter knife,c d,cabinet,candle,cart,cell phone,cloth,coffee machine,coffee table,counter top,credit card,cup,desk,desk lamp,dining table,dish sponge,drawer,dresser,egg,faucet,floor lamp,fork,fridge,garbage can,glassbottle,hand towel,hand towel holder,house plant,kettle,key chain,knife,ladle,laptop,laundry hamper,laundry hamper lid,lettuce,lettuce sliced,light switch,microwave,mug,newspaper,ottoman,painting hanger,pan,paper towel,paper towel roll,pen,pencil,pepper shaker,pillow,plate,plunger,pot,potato,potato sliced,remote control,safe,salt shaker,scrub brush,shelf,shower door,side table,sink,sink basin,soap bar,soap bottle,sofa,spatula,spoon,spray bottle,statue,stove burner,stove knob,t v stand,teddy bear,television,tennis racket,tissue box,toaster,toilet,toilet paper,toilet paper hanger,toilet paper roll,tomato,tomato sliced,towel,towel holder,vase,watch,watering can,wine bottle
dish sponge, 0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
drawer, 15,11,0,1,0,0,29,0,249,89,141,145,14,0,0,0,506,27,6,11,26,2,10,96,0,90,193,8,2,1,1288,146,3,184,5,7,140,12,0,13,0,0,46,0,38,5,78,0,0,5,0,48,152,29,3,2,0,51,15,0,29,3,5,172,83,1,122,2,0,15,0,6,1,259,10,11,293,6,0,3,29,12,26,2,11,1,0,0,16,73,0,5,27,76,31,0,0,4,0,197,8,90,19,1,12
dresser, 9,2,0,3,0,0,4,0,269,52,27,51,0,0,0,0,79,17,0,4,14,0,12,4,0,20,72,3,0,0,146,459,0,4,9,2,8,2,0,0,0,0,0,0,2,0,27,1,0,0,0,15,5,4,4,6,0,2,0,0,2,0,0,157,14,0,15,0,0,8,0,0,0,67,1,11,10,0,0,0,35,0,1,0,12,0,0,0,14,60,0,5,2,10,3,0,0,1,0,20,1,42,4,0,1
egg, 0,11,0,0,0,0,0,0,2,4,78,15,83,0,17,0,7,6,0,3,15,0,0,6,0,94,1,0,4,0,3,0,345,0,0,111,7,0,0,0,0,0,2,0,91,1,2,0,0,17,0,1,9,32,5,1,0,15,2,0,3,0,6,0,253,0,10,14,0,0,0,12,0,14,0,0,0,0,0,0,1,3,49,0,2,0,0,0,1,0,0,0,1,0,0,0,0,56,0,5,0,9,4,0,3
faucet, 1,8,0,1,0,0,255,0,19,17,249,152,8,0,0,0,507,37,5,3,43,3,2,159,0,167,10,0,4,1,184,4,0,1794,0,3,83,32,0,33,0,1,39,0,37,3,7,0,0,7,0,88,131,33,5,1,0,41,26,1,6,0,4,17,89,16,114,0,0,2,1,7,11,348,41,2,1548,19,8,21,8,5,23,9,10,1,0,0,2,17,0,42,34,639,209,0,8,3,0,568,32,99,15,3,5
floor lamp, 2,0,0,3,0,0,0,0,19,13,8,7,0,0,0,0,12,5,0,3,4,0,37,1,0,3,12,1,1,0,5,9,0,0,122,1,3,0,0,0,0,0,1,0,1,0,8,0,0,0,0,4,3,1,0,8,0,0,1,0,0,0,0,45,3,0,9,0,0,10,0,0,0,29,0,9,0,0,0,0,32,0,1,0,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0
fork, 0,28,0,0,0,0,0,0,3,28,478,65,287,0,56,0,19,75,2,27,113,0,4,13,0,498,18,0,11,0,7,2,111,3,1,2058,6,1,0,0,0,0,9,0,813,2,25,0,0,163,0,4,4,134,18,0,0,88,11,0,13,1,41,8,1719,0,47,58,0,3,0,59,0,30,0,2,10,0,0,0,8,34,404,1,2,0,0,0,5,8,1,0,1,1,0,0,0,184,0,25,0,60,80,0,24
fridge, 2,17,0,0,0,0,0,0,16,22,105,106,21,0,0,0,263,9,12,1,19,2,6,71,0,50,27,1,4,1,140,8,7,83,3,6,767,6,0,5,0,1,42,0,15,0,15,0,0,5,0,26,162,20,6,2,0,33,16,1,4,2,2,18,65,0,81,0,0,1,0,6,0,201,0,2,154,1,0,1,5,8,12,2,4,1,0,0,1,10,0,1,38,4,0,0,0,1,0,86,2,39,11,0,16
garbage can, 0,2,0,0,3,0,9,0,9,8,23,37,4,0,0,0,33,2,7,2,8,0,1,5,0,17,19,1,1,0,12,2,0,32,0,1,6,455,0,2,0,0,0,0,4,1,15,0,0,1,0,6,11,2,2,0,0,4,0,0,4,0,1,12,16,4,12,1,0,1,0,1,0,25,3,1,55,0,0,1,5,0,4,1,7,0,0,0,5,2,8,4,5,66,31,0,3,1,0,37,2,8,11,0,0
glassbottle, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand towel, 0,0,0,0,0,0,12,0,0,0,12,7,1,0,0,0,21,4,1,1,4,0,0,3,0,5,0,0,0,0,13,0,0,33,0,0,5,2,0,78,0,1,5,0,0,0,1,0,0,0,0,4,12,0,0,1,0,1,1,1,0,0,0,1,1,0,11,1,0,0,0,0,0,24,7,0,53,2,0,3,0,0,1,0,0,0,0,0,1,2,0,3,4,27,12,0,1,0,0,57,5,1,2,0,1
hand towel holder, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
house plant, 0,0,0,0,0,0,0,0,2,3,2,4,0,0,0,0,1,1,0,0,0,0,3,1,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,18,0,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,2,2,0,4,0,0,1,0,0,0,4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2
kettle, 0,3,0,0,0,0,0,0,5,10,66,23,13,0,0,0,106,7,4,2,19,0,1,30,0,62,5,0,5,0,46,0,2,39,1,9,42,0,0,5,0,0,300,0,26,3,5,0,0,2,0,7,62,18,3,0,0,54,4,0,4,0,2,7,59,0,104,0,0,0,0,1,0,54,1,0,74,0,0,0,3,9,23,4,4,1,0,0,2,5,1,0,28,0,0,0,0,3,0,64,1,27,4,2,4
key chain, 0,1,0,0,0,0,0,0,2,3,1,2,1,0,0,0,0,0,0,6,1,0,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
knife, 0,56,0,0,1,0,4,0,8,38,416,101,268,0,63,0,65,85,5,30,127,1,2,45,0,393,14,0,8,0,38,2,91,37,1,813,15,4,0,0,0,1,26,0,1963,5,19,0,0,103,0,5,43,140,19,0,0,103,15,0,19,2,29,21,1209,0,72,45,0,2,0,45,1,61,0,3,65,0,0,0,7,49,324,1,4,1,0,0,5,8,0,2,10,2,3,0,0,131,0,78,1,51,94,0,26
ladle, 0,2,0,0,0,0,0,0,2,3,28,2,5,0,0,0,9,3,0,0,2,0,0,6,0,7,1,0,0,0,5,0,1,3,0,2,0,1,0,0,0,0,3,0,5,56,2,0,0,0,0,0,2,4,0,0,0,21,1,0,2,0,0,1,20,0,20,2,0,0,0,1,0,6,0,0,5,0,0,0,1,6,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0
laptop, 4,62,0,2,1,0,3,0,204,256,76,195,14,0,0,0,90,29,7,121,58,1,56,16,0,336,861,19,6,0,78,27,2,7,8,25,15,15,0,1,0,3,5,6,19,2,2299,1,0,7,0,23,20,113,25,13,0,5,1,0,184,37,2,235,84,0,68,0,0,45,1,6,0,257,0,12,16,0,0,0,124,4,25,2,7,1,0,0,13,97,1,12,9,8,5,0,0,6,0,37,0,58,90,0,6
laundry hamper, 0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laundry hamper lid, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lettuce, 0,24,0,0,0,0,0,0,3,9,183,38,292,0,5,0,6,7,1,3,38,0,0,11,0,117,5,0,1,0,5,0,17,7,0,163,5,1,0,0,0,0,2,0,103,0,7,0,0,739,0,0,4,20,7,0,0,16,4,0,4,0,2,2,438,0,13,19,0,1,0,4,0,10,0,0,13,0,0,0,1,2,84,0,1,0,0,0,0,1,1,1,2,0,0,0,0,220,0,15,0,7,7,0,2
lettuce sliced, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
light switch, 5,6,0,1,0,0,16,0,58,17,36,40,4,0,0,0,102,13,4,4,6,0,14,27,0,20,21,0,2,0,48,15,1,88,4,4,26,6,0,4,0,0,7,0,5,0,23,0,0,0,0,392,29,8,2,7,0,5,2,0,3,0,1,55,29,1,14,1,0,7,0,2,0,57,4,2,114,3,2,4,20,2,5,0,5,0,0,0,1,30,1,5,3,48,22,0,1,0,0,51,4,17,11,0,2
microwave, 1,11,0,1,0,0,0,0,12,28,134,84,12,0,0,0,380,10,11,3,23,6,7,85,0,86,20,0,3,0,152,5,9,131,3,4,162,11,0,12,0,1,62,0,43,2,20,0,0,4,0,29,816,39,5,4,0,52,22,1,8,4,4,22,86,0,106,0,0,2,0,8,0,162,0,3,235,3,0,2,16,12,31,1,3,4,0,0,3,22,0,2,82,6,0,0,0,5,0,130,4,54,14,0,12
mug, 1,17,0,0,0,0,0,0,26,68,177,78,83,0,10,0,75,27,3,24,30,6,11,25,0,516,180,5,5,0,29,4,32,33,1,134,20,2,0,0,0,0,18,2,140,4,113,0,0,20,0,8,39,932,20,4,0,21,3,0,57,9,8,34,380,1,77,5,0,10,0,13,0,107,0,8,68,1,1,2,18,10,147,1,7,0,0,0,9,22,0,3,17,4,4,0,0,34,0,48,1,50,31,3,4
newspaper, 0,3,0,1,0,0,1,0,10,23,39,30,8,0,2,0,12,4,4,15,8,0,10,0,0,47,23,0,2,0,3,4,5,5,0,18,6,2,0,0,0,0,3,0,19,0,25,0,0,7,0,2,5,20,332,2,0,2,0,0,5,1,3,22,48,0,17,4,0,5,0,3,0,28,0,0,7,0,0,0,13,0,15,1,2,0,0,0,1,7,1,2,1,18,2,0,0,6,0,10,0,12,10,1,3
ottoman, 1,0,0,6,0,0,1,0,29,27,16,16,1,0,0,0,21,15,0,1,7,0,35,2,0,15,18,1,2,0,2,6,1,1,8,0,2,0,0,1,0,2,0,0,0,0,13,0,0,0,0,7,4,4,2,214,0,0,0,0,1,0,0,91,3,0,10,0,0,9,0,0,0,39,0,6,3,1,0,0,72,0,1,0,4,0,0,0,1,59,0,1,0,3,0,0,0,0,0,3,0,27,2,0,1
painting hanger, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pan, 1,14,0,0,0,0,2,0,4,11,224,65,56,0,6,0,95,18,9,9,47,0,0,40,0,94,5,0,2,0,51,2,15,41,0,88,33,4,0,1,0,0,54,0,103,21,5,0,0,16,0,5,52,21,2,0,0,915,10,0,10,0,5,3,278,0,227,11,0,0,0,9,0,109,0,1,66,1,0,0,2,90,105,1,3,4,2,0,5,4,0,0,14,8,1,0,0,54,0,78,1,10,32,0,6
paper towel, 0,3,0,0,0,0,0,0,1,1,25,23,5,0,1,0,33,0,0,1,6,0,0,14,0,19,2,0,3,1,15,0,2,26,1,11,16,0,0,1,0,0,4,0,15,1,1,0,0,4,0,2,22,3,0,0,0,10,150,1,3,0,0,0,31,0,17,3,0,0,0,0,0,14,1,0,45,0,0,1,1,3,9,0,1,1,0,0,0,1,0,2,5,12,7,0,0,7,0,29,4,4,7,0,2
paper towel roll, 0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
